rank,feature,split,gain,gain_pct,cumulative_pct
1,V258,239,357977.36,6.41,6.41
2,C14,2978,185182.42,3.31,9.72
3,card1,14427,179868.82,3.22,12.94
4,C13,5919,169415.11,3.03,15.98
5,V201,171,163267.33,2.92,18.9
6,C1,4039,161072.26,2.88,21.78
7,card2,11350,153679.02,2.75,24.53
8,TransactionDT,13701,152634.84,2.73,27.26
9,TransactionAmt,10855,136574.6,2.44,29.71
10,V257,156,116842.62,2.09,31.8
11,addr1,9581,111767.58,2.0,33.8
12,C11,2954,102829.67,1.84,35.64
13,C8,1452,98849.64,1.77,37.41
14,D2,4241,85597.14,1.53,38.94
15,D15,5753,81541.72,1.46,40.4
16,V317,1163,73158.9,1.31,41.71
17,D1,4799,69682.26,1.25,42.96
18,P_emaildomain,5176,68105.36,1.22,44.18
19,V246,137,66838.13,1.2,45.38
20,card6,1441,62480.77,1.12,46.49
21,C4,668,61335.23,1.1,47.59
22,D10,4534,56988.89,1.02,48.61
23,V294,874,56884.61,1.02,49.63
24,dist1,4453,55749.85,1.0,50.63
25,D4,4327,55210.9,0.99,51.62
26,R_emaildomain,2507,54792.9,0.98,52.6
27,card5,4593,53860.04,0.96,53.56
28,C12,1259,53567.25,0.96,54.52
29,C6,2970,53382.37,0.96,55.48
30,C2,3389,50936.68,0.91,56.39
31,V70,373,46153.62,0.83,57.21
32,card3,1652,41527.98,0.74,57.96
33,V283,1086,40081.65,0.72,58.68
34,V45,927,38152.11,0.68,59.36
35,D8,3634,37939.32,0.68,60.04
36,C9,2357,37084.85,0.66,60.7
37,V242,101,34669.13,0.62,61.32
38,id_31,3733,34268.8,0.61,61.94
39,V308,1055,31473.04,0.56,62.5
40,D3,1963,31343.05,0.56,63.06
41,D11,2927,31133.92,0.56,63.62
42,V295,273,30894.26,0.55,64.17
43,V313,2386,30855.87,0.55,64.72
44,V318,765,30734.81,0.55,65.27
45,C5,1665,30632.67,0.55,65.82
46,C7,482,30495.05,0.55,66.37
47,V91,386,29677.19,0.53,66.9
48,ProductCD,826,29507.1,0.53,67.43
49,V53,1187,28291.48,0.51,67.93
50,V312,1194,27899.22,0.5,68.43
51,V315,1856,27881.25,0.5,68.93
52,DeviceInfo,3148,27835.4,0.5,69.43
53,id_17,599,27502.39,0.49,69.92
54,V310,2202,27409.77,0.49,70.41
55,M4,1516,26715.5,0.48,70.89
56,id_02,3156,24087.41,0.43,71.32
57,V62,1020,23840.91,0.43,71.75
58,V281,799,23637.65,0.42,72.17
59,M5,1546,22654.43,0.41,72.58
60,V314,1747,22400.99,0.4,72.98
